Rank,Name,Gender
322,Raphaël Guerreiro,Male
322,Péter Gulácsi,Male
322,Fabinho,Male
322,Yangel Herrera,Male
322,Jonas Hofmann,Male
322,Ciro Immobile,Male
322,Reece James,Male
322,Boubacar Kamara,Male
322,Franck Yannick Kessié,Male
322,Randal Kolo Muani,Male
322,Filip Kostić,Male
322,Mohammed Kudus,Male
322,Dejan Kulusevski,Male
322,Alexandre Lacazette,Male
322,Jeremías Conan Ledesma,Male
322,Bernd Leno,Male
322,Stanislav Lobotka,Male
322,Ademola Lookman,Male
322,Romelu Lukaku,Male
322,Gianluca Mancini,Male
322,John McGinn,Male
322,Aleksandar Mitrović,Male
322,Nahuel Molina,Male
322,Savinho,Male
322,Thomas Müller,Male
322,Darwin Núñez,Male
322,Michael Olise,Male
322,Oyarzabal,Male
322,Thomas Partey,Male
322,Tijjani Reijnders,Male
322,Fabián Ruiz,Male
322,Brice Samba,Male
322,Sancet,Male
322,Jadon Sancho,Male
322,Fabian Schär,Male
322,Patrik Schick,Male
322,Luke Shaw,Male
322,Malcom,Male
322,Chris Smalling,Male
322,Alexander Sørloth,Male
322,Anderson Talisca,Male
322,Luis Suárez,Male
322,Niklas Süle,Male
322,Kevin Trapp,Male
322,Destiny Udogie,Male
322,Dayot Upamecano,Male
322,Micky van de Ven,Male
322,Raphaël Varane,Male
322,Iñaki Williams,Male
458,Luciano Acosta,Male
458,Edson Álvarez,Male
458,Yeray,Male
458,Waldemar Anton,Male
458,Alphonse Areola,Male
458,Marco Asensio,Male
458,Balde,Male
458,Rodrigo Bentancur,Male
458,Álex Berenguer,Male
458,Sergio Busquets,Male
458,Bryan Cristante,Male
458,Ricardo Horta,Male
458,Rui Silva,Male
458,Matteo Darmian,Male
458,Jonathan David,Male
458,Richarlison,Male
458,Luuk de Jong,Male
458,Fred,Male
458,Eberechi Eze,Male
458,Youssouf Fofana,Male
458,Davide Frattesi,Male
458,Remo Freuler,Male
458,Conor Gallagher,Male
458,Alexandr Golovin,Male
458,Pascal Groß,Male
458,Marc Guéhi,Male
458,Dávid Hancko,Male
458,Benjamin Henrichs,Male
458,Piero Hincapié,Male
458,Ferdi Kadıoğlu,Male
458,Daichi Kamada,Male
458,Presnel Kimpembe,Male
458,Orkun Kökçü,Male
458,Ezri Konsa,Male
458,Odilon Kossounou,Male
458,Andrej Kramarić,Male
458,Takefusa Kubo,Male
458,Ruben Loftus-Cheek,Male
458,Andriy Lunin,Male
458,Iñigo Martínez,Male
458,Noussair Mazraoui,Male
